<<<<<<< HEAD
﻿子用例编号,用例编号,测试类型,测试优先级,测试对象,验证描述（输入→操作）,期望结果,N/A,实际结果,测试结果,是否在fealibTest覆盖
TC-UNIT-STAT-002-03,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([""a"",""b"",""c"",""d""], k=2)","期望输出 [""a"",""b""]，长度=2",[],FAIL,是
TC-UNIT-STAT-002-04,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1,2,3], k=5) k > 数组长度","期望输出 [1,2,3]，长度=3（≤k）",[],PASS,是
TC-UNIT-STAT-002-05,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1,2,3], k=3) k = 数组长度","期望输出 [1,2,3]，长度=3",[],FAIL,是
TC-UNIT-STAT-002-06,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([], k=3) 空数组",期望返回 []，不崩溃,[],PASS,是
TC-UNIT-STAT-002-07,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([], k=0) 空数组+k=0",期望返回 []，不崩溃,[],PASS,是
TC-UNIT-STAT-002-08,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1,2,3], k=0)",期望返回 []，长度=0，不崩溃,[],PASS,是
TC-UNIT-STAT-002-09,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1,2,3], k=5) + export.len=5,padding=0","期望输出 [1,2,3,0,0]，补 padding 至长度5",[],FAIL,是
TC-UNIT-STAT-003-01,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"norm([3.0f,4.0f], p=2.0f) L2范数",期望输出 5.0f，误差 ≤ 1e-6,0.0,FAIL,是
TC-UNIT-STAT-003-02,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"norm([1.0f,1.0f,1.0f,1.0f], p=2.0f)",期望输出 2.0f,0.0,FAIL,是
TC-UNIT-STAT-003-03,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"norm([3.0f,4.0f], p=1.0f) L1范数",期望输出 7.0f,0.0,FAIL,是
TC-UNIT-STAT-003-04,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"norm([], p=2.0f) 空数组",不崩溃，返回 0.0f 或 padding,0.0,PASS,是
TC-UNIT-STAT-003-05,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"normalize([3.0f,4.0f], p=2.0f)","期望输出 [0.6f,0.8f]，每元素误差 ≤ 1e-6","[0.0, 0.6000000238418579]",FAIL,是
TC-UNIT-STAT-003-06,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"normalize([1.0f,0.0f,0.0f], p=2.0f)","期望输出 [1.0f,0.0f,0.0f]","[0.0, 1.0, 0.0]",FAIL,是
TC-UNIT-STAT-003-07,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"normalize([0.0f,0.0f], p=2.0f) 零向量","不崩溃，返回 [0.0f,0.0f] 或 padding","[0.0, 0.0]",PASS,是
TC-UNIT-STAT-003-08,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"dot_product([1.0f,2.0f],[3.0f,4.0f])",期望输出 11.0f,0.0,FAIL,是
TC-UNIT-STAT-003-09,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"dot_product([0.0f,0.0f],[1.0f,1.0f])",期望输出 0.0f,0.0,PASS,是
TC-UNIT-STAT-003-10,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"dot_product([1.0f,2.0f],[3.0f]) 维度不匹配",不崩溃，返回 padding,0.0,PASS,是
TC-UNIT-STAT-003-11,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"count([1,2,2,3,2], 2)",期望输出 3,[],FAIL,是
TC-UNIT-STAT-003-12,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"count([1,2,3], 5) 元素不存在",期望输出 0,[],FAIL,是
TC-UNIT-STAT-003-13,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"count([], 1) 空数组",期望输出 0,[],FAIL,是
TC-UNIT-STAT-003-14,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"contains([1,2,3], 2)","期望输出 ""true""",[],FAIL,是
TC-UNIT-STAT-003-15,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"contains([1,2,3], 5)","期望输出 ""false""",[],FAIL,是
TC-UNIT-STAT-003-16,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"contains([], 1) 空数组","期望输出 ""false""",[],FAIL,是
TC-UNIT-STAT-003-17,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"len([1,2,3,4,5])",期望输出 5,[],FAIL,是
TC-UNIT-STAT-003-18,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,len([]) 空数组,期望输出 0,[],FAIL,是
TC-UNIT-STAT-003-19,TC-UNIT-STAT-003,单元测试,P0,norm / normalize / dot_product / count / contains / len,"len([""a"",""b""])",期望输出 2,[],FAIL,是
TC-UNIT-DISC-001-01,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(5.0f, 3.0f) float",期望输出 1（5.0 ≥ 3.0）,[],FAIL,是
TC-UNIT-DISC-001-02,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(2.0f, 3.0f) float",期望输出 0（2.0 < 3.0）,[],FAIL,是
TC-UNIT-DISC-001-03,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(3.0f, 3.0f) float 等于 threshold",期望输出 1（规范：v >= threshold 返回1）,[],FAIL,是
TC-UNIT-DISC-001-04,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(-1.0f, 0.0f) float",期望输出 0,[],FAIL,是
TC-UNIT-DISC-001-05,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(0.0f, 0.0f) float 等于0 threshold",期望输出 1,[],FAIL,是
TC-UNIT-DISC-001-06,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(5, 3) int32",期望输出 1,[],FAIL,是
TC-UNIT-DISC-001-07,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(2, 3) int32",期望输出 0,[],FAIL,是
TC-UNIT-DISC-001-08,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(3, 3) int32 等于 threshold",期望输出 1,[],FAIL,是
TC-UNIT-DISC-001-09,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(5LL, 3LL) int64",期望输出 1,[],FAIL,是
TC-UNIT-DISC-001-10,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(2LL, 3LL) int64",期望输出 0,[],FAIL,是
TC-UNIT-DISC-001-11,TC-UNIT-DISC-001,单元测试,P0,binarize,"binarize(3LL, 3LL) int64 等于 threshold",期望输出 1,[],FAIL,是
TC-UNIT-DISC-001-12,TC-UNIT-DISC-001,单元测试,P0,binarize,binarize 返回类型为 int32，须配 hash,"配置 hash.prefix=""bin_""，验证哈希输出 ∈ [0, mask]",[],FAIL,是
TC-UNIT-DISC-002-01,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(20.0f, [18,25,35,45,55,65]) 边界内",期望输出 1（18≤20<25）,[],FAIL,是
TC-UNIT-DISC-002-02,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(30.0f, [18,25,35,45,55,65])",期望输出 2（25≤30<35）,[],FAIL,是
TC-UNIT-DISC-002-03,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(60.0f, [18,25,35,45,55,65])",期望输出 5（55≤60<65）,[],FAIL,是
TC-UNIT-DISC-002-04,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(17.0f, [18,25,35,45,55,65]) 低于最小边界",期望输出 0,[],FAIL,是
TC-UNIT-DISC-002-05,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(-100.0f, [18,25,35,45,55,65])",期望输出 0,[],FAIL,是
TC-UNIT-DISC-002-06,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(70.0f, [18,25,35,45,55,65]) 高于最大边界",期望输出 6,[],FAIL,是
TC-UNIT-DISC-002-07,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(1000.0f, [18,25,35,45,55,65])",期望输出 6,[],FAIL,是
TC-UNIT-DISC-002-08,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(18.0f, [18,25,...]) 等于最小边界",期望输出 1（≥18 属于第1桶）,[],FAIL,是
TC-UNIT-DISC-002-09,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(25.0f, [18,25,...]) 等于中间边界",期望输出 2（≥25 属于第2桶）,[],FAIL,是
TC-UNIT-DISC-002-10,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(30, [...]) int32",期望输出 2,[],FAIL,是
TC-UNIT-DISC-002-11,TC-UNIT-DISC-002,单元测试,P0,bucketize,"bucketize(30LL, [18LL,25LL,35LL]) int64",期望输出 2,[],FAIL,是
TC-UNIT-DISC-002-12,TC-UNIT-DISC-002,单元测试,P0,bucketize,"配置 hash.prefix=""age_bucket_""，验证哈希输出","期望输出 ∈ [0, mask]",[],FAIL,是
TC-UNIT-IDENTITY-001-01,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_float user.age=3.14f) + export.len=1,padding=0.0",期望输出 [3.14f]，值不变,0.0,FAIL,是
TC-UNIT-IDENTITY-001-02,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_int32 user.count=42) + hash.prefix=""cnt_""","期望输出 hash(""cnt_""+42) ∈ [0, mask]",[],FAIL,是
TC-UNIT-IDENTITY-001-03,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(!var_int64 user.uid=9999999LL) 无hash,期望直通输出 9999999LL,[],FAIL,是
TC-UNIT-IDENTITY-001-04,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_string user.gender=""male"") 自动hash","期望输出哈希值 ∈ [0, mask]",[],FAIL,是
TC-UNIT-IDENTITY-001-05,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_string user.gender=""male"") 连续执行两次",期望两次哈希值完全相同（幂等）,"r1=[949940], r2=[]",FAIL,是
TC-UNIT-IDENTITY-001-06,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(!var_int32 user.age=25) 字段缺失,不崩溃，返回 padding,values=[],PASS,是
TC-UNIT-IDENTITY-001-07,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_string_array item.tags=[""sports"",""news""]) + export.len=5,padding=0",期望哈希数组长度=2，补 padding 至 5,[],FAIL,是
TC-UNIT-IDENTITY-001-08,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_int64_array user.ids=[1LL,2LL,3LL]) 直通","期望输出 [1LL,2LL,3LL]，保持原顺序",[],FAIL,是
TC-UNIT-IDENTITY-001-09,TC-UNIT-IDENTITY-001,单元测试,P0,identity,"identity(!var_float_array item.scores=[0.1f,0.2f,0.3f]) + export.len=3,padding=0.0","期望输出 [0.1f,0.2f,0.3f]","[0.0, 0.10000000149011612, 0.20000000298023224]",FAIL,是
TC-UNIT-IDENTITY-001-10,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(!var_string_array item.tags=[]) 空数组,不崩溃，返回空数组或 padding,values=[],PASS,是
TC-UNIT-IDENTITY-001-11,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(float) + 配置 hash 非法,期望构建期报错（float 不支持 hash）,build_error: RuntimeError,PASS,是
TC-UNIT-IDENTITY-001-12,TC-UNIT-IDENTITY-001,单元测试,P0,identity,identity(int32) + 无 hash 非法,期望构建期报错（int32 必须配 hash）,build_error: RuntimeError,PASS,是
TC-UNIT-STR-001-01,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower(""Hello_World"")","期望输出 ""hello_world""",[],FAIL,是
TC-UNIT-STR-001-02,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower(""ABC123"")","期望输出 ""abc123""",[],FAIL,是
TC-UNIT-STR-001-03,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower(""already_lower"") 已小写","期望输出 ""already_lower""（不变）",[],FAIL,是
TC-UNIT-STR-001-04,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower("""") 空字符串","期望输出 """"，不崩溃",[],FAIL,是
TC-UNIT-STR-001-05,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"lower(""SAME"") 连续执行两次",期望两次哈希值完全相同（幂等）,"r1=[1047672], r2=[]",FAIL,是
TC-UNIT-STR-001-06,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"upper(""hello"")","期望输出 ""HELLO""",[],FAIL,是
TC-UNIT-STR-001-07,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"upper(""abc123"")","期望输出 ""ABC123""",[],FAIL,是
TC-UNIT-STR-001-08,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"upper(""ALREADY_UPPER"") 已大写","期望输出 ""ALREADY_UPPER""（不变）",[],FAIL,是
TC-UNIT-STR-001-09,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"upper("""") 空字符串","期望输出 """"，不崩溃",[],FAIL,是
TC-UNIT-STR-001-10,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse(""abc"")","期望输出 ""cba""",[],FAIL,是
TC-UNIT-STR-001-11,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse(""abcd"")","期望输出 ""dcba""",[],FAIL,是
TC-UNIT-STR-001-12,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse(""a"") 单字符","期望输出 ""a""",[],FAIL,是
TC-UNIT-STR-001-13,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse("""") 空字符串","期望输出 """"，不崩溃",[],FAIL,是
TC-UNIT-STR-001-14,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,"reverse(""abcba"") 回文","期望输出 ""abcba""（不变）",[],FAIL,是
TC-UNIT-STR-001-15,TC-UNIT-STR-001,单元测试,P0,lower / upper / reverse,lower/upper/reverse 输出类型 string，须配 hash,"配置 hash.prefix=""str_""，验证哈希输出 ∈ [0, mask]","lower=[447717], upper=[428631], reverse=[]",FAIL,是
TC-UNIT-STR-002-01,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello world"", 0, 5)","期望输出 ""hello""",[],FAIL,是
TC-UNIT-STR-002-02,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello world"", 6, 5)","期望输出 ""world""",[],FAIL,是
TC-UNIT-STR-002-03,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 2, 3)","期望输出 ""llo""",[954150],FAIL,是
TC-UNIT-STR-002-04,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 0, 100) length > 字符串长度","期望输出 ""hello""，不越界",[48466],FAIL,是
TC-UNIT-STR-002-05,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 2, 100)","期望输出 ""llo""",[699093],FAIL,是
TC-UNIT-STR-002-06,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 5, 3) start到末尾","期望输出 """"",[],FAIL,是
TC-UNIT-STR-002-07,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr("""", 0, 5) 空字符串","期望输出 """"，不崩溃",[],FAIL,是
TC-UNIT-STR-002-08,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", -1, 3) 负数start","不崩溃，返回 """" 或 padding",hash()=699093,PASS,是
TC-UNIT-STR-002-09,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"substr(""hello"", 0, 0) length=0","期望输出 """"",[],FAIL,是
TC-UNIT-STR-002-10,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""category_sports"", [""cat"",""user"",""item""])","期望输出 ""cat""",[],FAIL,是
TC-UNIT-STR-002-11,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""user_123"", [""cat"",""user"",""item""])","期望输出 ""user""",[],FAIL,是
TC-UNIT-STR-002-12,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""item_001"", [""cat"",""user"",""item""])","期望输出 ""item""",[],FAIL,是
TC-UNIT-STR-002-13,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""unknown_str"", [""cat"",""user"",""item""]) 无匹配","期望输出 """"",[],FAIL,是
TC-UNIT-STR-002-14,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""category_sports"", []) 空前缀列表","期望输出 """"，不崩溃",values=[],PASS,是
TC-UNIT-STR-002-15,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix("""", [""cat"",""user""]) 空字符串","期望输出 """"，不崩溃",values=[],PASS,是
TC-UNIT-STR-002-16,TC-UNIT-STR-002,单元测试,P0,substr / match_prefix,"match_prefix(""cat"", [""cat"",""category""]) 完全匹配","期望输出 ""cat""",[],FAIL,是
TC-UNIT-CONCAT-001-01,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(""hello"", ""world"") string+string","期望输出 ""helloworld""",[],FAIL,是
TC-UNIT-CONCAT-001-02,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(25, ""male"") int32+string","期望输出 ""25male""",[],FAIL,是
TC-UNIT-CONCAT-001-03,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(""age"", 30) string+int32","期望输出 ""age30""",[],FAIL,是
TC-UNIT-CONCAT-001-04,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(3.14f, ""price"") float+string","记录实际 float 格式（如 ""3.14price"" 或 ""3.140000price""）",[],FAIL,是
TC-UNIT-CONCAT-001-05,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(100, 200) int32+int32","期望输出 ""100200""",[],FAIL,是
TC-UNIT-CONCAT-001-06,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(100LL, 200LL) int64+int64","期望输出 ""100200""",[],FAIL,是
TC-UNIT-CONCAT-001-07,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(3.14f, 2.71f) float+float",期望输出两数字字符串拼接,[],FAIL,是
TC-UNIT-CONCAT-001-08,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(100LL, ""str"") int64+string","期望输出 ""100str""",[],FAIL,是
TC-UNIT-CONCAT-001-09,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(3.14f, 42) float+int32",期望输出拼接字符串,[],FAIL,是
TC-UNIT-CONCAT-001-10,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat(42, 3.14f) int32+float",期望输出拼接字符串,[],FAIL,是
TC-UNIT-CONCAT-001-11,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat 剩余6种类型组合（int64+float, int64+int32, float+int64, string+int64, string+float, int32+int64）",每种组合均输出合法字符串,N/A,FAIL,是
TC-UNIT-CONCAT-001-12,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws(""@"", ""user123"", ""cn"")","期望输出 ""user123@cn""",[],FAIL,是
TC-UNIT-CONCAT-001-13,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws(""_"", 2024, ""01"") int32+string","期望输出 ""2024_01""",[],FAIL,是
TC-UNIT-CONCAT-001-14,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws(""-"", 3.14f, ""price"") float+string",记录实际 float 格式,[],FAIL,是
TC-UNIT-CONCAT-001-15,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws(""|"", 100LL, 200LL) int64+int64","期望输出 ""100|200""",[],FAIL,是
TC-UNIT-CONCAT-001-16,TC-UNIT-CONCAT-001,单元测试,P0,concat / concat_ws,"concat_ws("""", ""a"", ""b"") 空分隔符","期望输出 ""ab""",[],FAIL,是
TC-UNIT-CONCAT-002-01,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"lower_concat_ws(""@"", ""UserID"", ""CN"")","期望输出 ""userid@cn""",[],FAIL,是
TC-UNIT-CONCAT-002-02,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"lower_concat_ws(""_"", ""Hello"", ""World"")","期望输出 ""hello_world""",[],FAIL,是
TC-UNIT-CONCAT-002-03,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"lower_concat_ws(""@"", 25, ""Male"") int32+string","期望输出 ""25@male""（记录数字是否参与lower）",[],FAIL,是
TC-UNIT-CONCAT-002-04,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"lower_concat_ws("""", ""UPPER"", ""CASE"") 空分隔符","期望输出 ""uppercase""",[],FAIL,是
TC-UNIT-CONCAT-002-05,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat(""hello"", ""world"", [""hello"",""world""])","期望输出 """"（两部分都被trim）",[],FAIL,是
TC-UNIT-CONCAT-002-06,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat(""prefix_data"", ""_suffix"", [""prefix_"",""_suffix""])","期望输出 ""data""",[],FAIL,是
TC-UNIT-CONCAT-002-07,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat(""abc"", ""def"", []) 空trim_list","期望输出 ""abcdef""（不做trim）",[],FAIL,是
TC-UNIT-CONCAT-002-08,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat(""hello"", ""world"", [""xyz""]) 无匹配","期望输出 ""helloworld""",[],FAIL,是
TC-UNIT-CONCAT-002-09,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat("""", """", [""""])",不崩溃,"Expected 1 value
assert 0 == 1
 +  where 0 = len([])",PASS,是
TC-UNIT-CONCAT-002-10,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat_ws(""_"", ""prefix_price"", ""high_suffix"", [""prefix_"",""_suffix""])","期望输出 ""price_high""",[],FAIL,是
TC-UNIT-CONCAT-002-11,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat_ws(""@"", ""user123"", ""cn"", [""user""])","期望输出 ""123@cn""（去除 ""user"" 后拼接）",[],FAIL,是
TC-UNIT-CONCAT-002-12,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat_ws(""-"", ""abc"", ""def"", []) 空trim_list","期望输出 ""abc-def""",[],FAIL,是
TC-UNIT-CONCAT-002-13,TC-UNIT-CONCAT-002,单元测试,P0,lower_concat_ws / trim_concat / trim_concat_ws,"trim_concat_ws(""_"", ""ABC"", ""DEF"", [""ABC""])","期望输出 ""_DEF"" 或 ""DEF""，记录实际分隔符处理方式",[],FAIL,是
TC-UNIT-CONCAT-003-01,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""a"",""b""], [""x"",""y""])","期望输出 [""ax"",""ay"",""bx"",""by""]，长度=4",[],FAIL,是
TC-UNIT-CONCAT-003-02,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""tag1"",""tag2""], [""sports"",""news""])",期望输出4项，含tag1sports/tag1news/tag2sports/tag2news,[],FAIL,是
TC-UNIT-CONCAT-003-03,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""a"",""b"",""c""], [""1"",""2""])",期望输出 6 项,[],FAIL,是
TC-UNIT-CONCAT-003-04,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""a""], [""x""]) 单元素","期望输出 [""ax""]，长度=1",[],FAIL,是
TC-UNIT-CONCAT-003-05,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([1,2], [10,20]) int32","期望输出 [""110"",""120"",""210"",""220""]",[],FAIL,是
TC-UNIT-CONCAT-003-06,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([1LL,2LL], [""a"",""b""]) int64+string","期望输出 [""1a"",""1b"",""2a"",""2b""]",[],FAIL,是
TC-UNIT-CONCAT-003-07,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([""a"",""b""], []) 右空",期望返回 []，不崩溃,[],PASS,是
TC-UNIT-CONCAT-003-08,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([], [""x"",""y""]) 左空",期望返回 []，不崩溃,[],PASS,是
TC-UNIT-CONCAT-003-09,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"cartesian_concat([], []) 均空",期望返回 []，不崩溃,[],PASS,是
TC-UNIT-CONCAT-003-10,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,"len(A)=5, len(B)=5 结果数量验证",期望结果长度=25,[],FAIL,是
TC-UNIT-CONCAT-003-11,TC-UNIT-CONCAT-003,单元测试,P0,cartesian_concat,cartesian_concat 超出 export.len=10 截断,期望截断至长度10，不崩溃,[],FAIL,是
TC-UNIT-DATE-001-01,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,year(1711123200) UTC 2024-03-22,"期望输出 ""2024""",[37449],FAIL,是
TC-UNIT-DATE-001-02,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,year(0) Unix纪元,"期望输出 ""1970""",[55314],FAIL,是
TC-UNIT-DATE-001-03,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,month(1711123200),"期望输出 ""03""",[44906],FAIL,是
TC-UNIT-DATE-001-04,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,month(1672531200) 2023-01-01,"期望输出 ""01""",[51185],FAIL,是
TC-UNIT-DATE-001-05,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,day(1711123200),"期望输出 ""22""",[42446],FAIL,是
TC-UNIT-DATE-001-06,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,day(1672531200),"期望输出 ""01""",[1553],FAIL,是
TC-UNIT-DATE-001-07,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,weekday(1711123200),"记录实际格式（""5"" 或 ""Friday""），验证格式一致性",[952026],PASS,是
TC-UNIT-DATE-001-08,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,weekday(1672531200) 2023-01-01 周日,记录实际值，验证为周日,hash=168696,PASS,是
TC-UNIT-DATE-001-09,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,curdate(1711123200) 格式 YYYYMMDD,"期望输出 ""20240322""",[993913],FAIL,是
